IC2095, 0.01017, 0.009497, 0
IC2098, 0.00934, 0.009403, 0
NGC1677, 0.00934, 0.00919, 0
IC2101, 0.01489, 0.015087, 0
ARP180, 0.01415, -99, 0
UGC03253, 0.01389, 0.013776, 0
NGC2253, 0.01201, 0.011885, 0
UGC03539, 0.01113, 0.011021, 0
NGC2347, 0.01463, 0.014747, 0
UGC03899, 0.01315, 0.012956, 0
NGC2410, 0.01574, 0.015614, 0
UGC03944, 0.01295, 0.012992, 0
UGC03969, 0.02702, 0.027119, 0
UGC03973, 0.02212, 0.022189, 0
UGC03995, 0.0158, 0.015844, 0
NGC2449, 0.01652, 0.016318, 0
UGC04029, 0.01454, 0.014727, 0
UGC04054, 0.00674, 0.007075, 0
IC0480, 0.01542, 0.015208, 0
NGC2476, 0.01229, 0.012439, 0
NGC2480, 0.008, 0.007822, 0
NGC2481, 0.00733, 0.007195, 0
NGC2487, 0.01619, 0.016148, 0
UGC04132, 0.01744, 0.017409, 0
UGC04140, 0.01561, 0.015708, 0
UGC04145, 0.0153, 0.015421, 0
UGC04136, 0.02216, 0.022332, 0
IC0485, 0.02773, 0.027813, 0
NGC2507, 0.01507, 0.01522, 0
NGC2513, 0.01564, 0.015561, 0
UGC04176, 0.01028, 0.010294, 0
UGC04190, 0.01601, 0.016598, 0
UGC04197, 0.01504, 0.015276, 0
UGC04210, 0.01678, 0.016735, 0
UGC04195, 0.01617, 0.016305, 0
NGC2522, 0.01554, 0.015694, 0
UGC04233, 0.02943, 0.030034, 0
NGC2530, 0.01668, 0.016772, 0
UGC04240, 0.02886, 0.028563, 0
UGC04245, 0.01733, 0.017402, 0
UGC04258, 0.01064, 0.010462, 0
NGC2540, 0.02088, 0.021018, 0
NGC2543, 0.00814, 0.008242, 0
UGC04280, 0.01184, 0.011718, 0
IC2247, 0.01427, 0.014283, 0
UGC04308, 0.01179, 0.011895, 0
NGC2553, 0.01549, 0.015748, 0
NGC2554, 0.01365, 0.01387, 0
UGC04262, 0.01893, 0.019, 0
NGC2558, 0.01672, 0.016672, 0
NGC2565, 0.01182, 0.011948, 0
NGC2572, 0.02648, 0.026628, 0
NGC2577, 0.00657, 0.006878, 0
UGC04375, 0.00673, 0.006875, 0
IC2341, 0.01701, 0.017155, 0
IC2361, 0.00705, 0.006878, 0
NGC2592, 0.00654, 0.006601, 0
NGC2596, 0.01964, 0.019807, 0
NGC2595, 0.0143, 0.014443, 0
UGC04425, 0.01967, 0.01967, 0
UGC04461, 0.0167, 0.016655, 0
NGC2604, 0.00702, 0.00693, 0
UGC04468, 0.02468, 0.025227, 0
NGC2623, 0.01832, 0.018509, 0
NGC2638, 0.01282, 0.012739, 0
UGC04550, 0.00744, 0.006895, 0
NGC2639, 0.01069, 0.011128, 0
UGC04546, 0.01742, 0.017443, 0
UGC04551, 0.00582, 0.005764, 0
UGC04659, 0.00571, 0.005857, 0
UGC04722, 0.00608, 0.005984, 0
NGC2730, 0.0129, 0.012782, 0
NGC2805, 0.0059, 0.005779, 0
NGC2880, 0.00524, 0.005184, 0
IC2487, 0.01439, 0.014473, 0
IC0540, 0.00678, 0.006788, 0
NGC2906, 0.00722, 0.007138, 0
NGC2916, 0.01227, 0.012442, 0
UGC05108, 0.02711, 0.026989, 0
NGC2918, 0.02248, 0.022812, 0
UGC05111, 0.02242, 0.022609, 0
UGC05113, 0.0228, 0.022746, 0
UGC05244, 0.00999, 0.01009, 0
UGC05358, 0.00986, 0.00972, 0
UGC05359, 0.02815, 0.028259, 0
UGC05396, 0.01798, 0.018012, 0
SDSSJ100141.02+371447.4, 0.00538, -99, 0
NGC3106, 0.02062, 0.020698, 0
NGC3057, 0.00505, 0.005084, 0
UGC05498NED01, 0.02091, 0.020874, 0
NGC3158, 0.02298, 0.023313, 0
NGC3160, 0.02283, 0.023083, 0
UGC05520, 0.01102, 0.011058, 0
NGC3182, 0.007, 0.007065, 0
UGC05598, 0.01883, 0.0188, 0
NGC3300, 0.01012, 0.01027, 0
NGC3303, 0.0206, 0.020951, 0
UGC05771, 0.02475, 0.024694, 0
NGC3381, 0.00575, 0.005434, 0
NGC3395, 0.00549, 0.00542, 0
NGC3406NED01, 0.02469, 0.024927, 0
UGC06036, 0.02177, 0.021688, 0
IC0674, 0.02488, 0.025104, 0
UGC06256, 0.01098, 0.011304, 0
UGC06312, 0.02099, 0.021098, 0
NGC3615, 0.02209, 0.022292, 0
NGC3614, 0.00777, 0.007782, 0
NGC3610, 0.00583, 0.005694, 0
NGC3619, 0.00507, 0.005204, 0
NGC3687, 0.0083, 0.008362, 0
NGC3811, 0.01046, 0.010357, 0
NGC3815, 0.01256, 0.012379, 0
NGC3991, 0.01184, 0.010647, 0
NGC3994, 0.01042, 0.010294, 0
NGC4003, 0.02181, 0.021712, 0
UGC07012, 0.01043, 0.010277, 0
NGC4047, 0.0114, 0.011375, 0
UGC07145, 0.02203, 0.022153, 0
NGC4149, 0.0103, 0.010194, 0
NGC4185, 0.01289, 0.013022, 0
NGC4210, 0.00916, 0.009113, 0
NGC4211NED02, 0.02213, 0.022302, 0
IC0776, 0.00881, 0.008232, 0
NGC4470, 0.00816, 0.007809, 0
IC3598, 0.02554, 0.025598, 0
NGC4644, 0.01646, 0.016501, 0
NGC4676A, 0.02217, 0.022059, 0
NGC4711, 0.0136, 0.013549, 0
UGC08004, 0.02063, 0.020634, 0
NGC4816, 0.02304, 0.023066, 0
NGC4841A, 0.0226, 0.022599, 0
NGC4874, 0.02393, 0.023937, 0
UGC08107, 0.02787, 0.027685, 0
NGC4956, 0.01596, 0.015844, 0
NGC4961, 0.00886, 0.008456, 0
UGC08231, 0.00857, 0.008239, 0
UGC08234, 0.0269, 0.027025, 0
NGC5000, 0.01864, 0.018706, 0
UGC08250, 0.01757, 0.017646, 0
UGC08267, 0.02409, 0.024123, 0
NGC5016, 0.00869, 0.008713, 0
NGC5029, 0.02903, 0.029177, 0
UGC08322, 0.0254, 0.025411, 0
IC4215, 0.01295, 0.013049, 0
NGC5157, 0.02442, 0.024424, 0
NGC5205, 0.00593, 0.005891, 0
NGC5198, 0.00843, 0.008402, 0
NGC5216, 0.00988, 0.009804, 0
NGC5218, 0.0097, 0.009783, 0
NGC5267, 0.01968, 0.019724, 0
UGC08662, 0.00688, 0.006743, 0
NGC5289, 0.00842, 0.008426, 0
UGC08733, 0.00773, 0.007799, 0
NGC5320, 0.00882, 0.008736, 0
IC0944, 0.02315, 0.023339, 0
UGC08778, 0.01088, 0.010904, 0
UGC08781, 0.02513, 0.025324, 0
NGC5376, 0.00695, 0.006921, 0
NGC5379, 0.00609, 0.005917, 0
NGC5378, 0.00977, 0.010147, 0
NGC5402, 0.01007, 0.010077, 0
NGC5394, 0.01168, 0.011501, 0
NGC5406, 0.01802, 0.017352, 0
NGC5425, 0.00702, 0.006918, 0
NGC5421NED02, 0.02616, 0.025451, 0
NGC5439, 0.00631, 0.006291, 0
NGC5443, 0.00614, 0.006014, 0
NGC5423, 0.0198, 0.019737, 0
UGC08988, 0.00681, 0.006974, 0
NGC5434B, 0.01896, 0.018803, 0
UGC08984, 0.01282, 0.012772, 0
NGC5473, 0.00675, 0.006745, 0
NGC5475, 0.00561, 0.005574, 0
NGC5480, 0.00651, 0.006191, 0
NGC5485, 0.00639, 0.006428, 0
UGC09071, 0.00606, 0.006088, 0
UGC09080, 0.01019, 0.010294, 0
UGC09067, 0.02634, 0.026151, 0
NGC5520, 0.0062, 0.006261, 0
NGC5513, 0.01688, 0.016655, 0
UGC09110, 0.01564, 0.015553, 0
UGC09113, 0.0107, 0.010621, 0
NGC5519, 0.02484, 0.024864, 0
